"MOD_NAME","ITM_NAME","SEQ_NO","DSCR","ITM_TYPE","FLD_LEN","DECML","MIN_LEN","MAX_LEN","CODELIST","update_stamp"
"FAMHXPD","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"FAMHXPD","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"FAMHXPD","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:42.0"
"FAMHXPD","BIOMOM","10","Biological Mother","NUMBER","1","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","BIOMOMPD","11","Biological Mother with PD","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"FAMHXPD","BIODAD","12","Biological Father","NUMBER","1","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","BIODADPD","13","Biological Father with PD","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"FAMHXPD","FULSIB","14","Full Siblings","NUMBER","2","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","FULSIBPD","15","Full Siblings with PD","NUMBER","2","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","HAFSIB","16","Half Siblings","NUMBER","2","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","HAFSIBPD","17","Half Siblings with PD","NUMBER","2","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","MAGPAR","18","Maternal Grandparents","NUMBER","1","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","MAGPARPD","19","Maternal Grandparents with PD","NUMBER","1","0","0","2","","2013-09-14 07:59:42.0"
"FAMHXPD","PAGPAR","20","Paternal Grandparents","NUMBER","1","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","PAGPARPD","21","Paternal Grandparents with PD","NUMBER","1","0","0","2","","2013-09-14 07:59:42.0"
"FAMHXPD","MATAU","22","Maternal Aunts and Uncles","NUMBER","2","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","MATAUPD","23","Maternal Aunts and Uncles with PD","NUMBER","2","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","PATAU","24","Paternal Aunts and Uncles","NUMBER","2","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","PATAUPD","25","Paternal Aunts and Uncles with PD","NUMBER","2","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","KIDSNUM","26","How many children do you have","NUMBER","2","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","KIDSPD","27","How many children with PD","NUMBER","2","0","","","","2013-09-14 07:59:42.0"
"FAMHXPD","STAFFCD","28","Examiner","CHAR","4","","","","","2013-09-14 07:59:42.0"
"FAMHXPD","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:42.0"
"FAMHXPD","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:42.0"
"FAMHXPD","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"FAMHXPD","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:42.0"
"GDSSHORT","","0","Geriatric Depression Scale (Short)","","","","","","","2013-09-14 07:59:42.0"
"GDSSHORT","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:42.0"
"GDSSHORT","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:42.0"
"GDSSHORT","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:42.0"
"GDSSHORT","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"GDSSHORT","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"GDSSHORT","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"GDSSHORT","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSSATIS","9","Basically satisfied with your life?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSDROPD","10","Dropped many activities and interests?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSEMPTY","11","Feel that your life is empty?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSBORED","12","Often get bored?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSGSPIR","13","In good spirits most of the time?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSAFRAD","14","Afraid something bad will happen to you?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSHAPPY","15","Feel happy most of the time","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSHLPLS","16","Often feel helpless?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSHOME","17","Prefer to stay at home?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSMEMRY","18","More problems with memory than most?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSALIVE","19","Wonderful to be alive now?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSWRTLS","20","Feel pretty worthless the way you are?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSENRGY","21","Feel full of energy?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSHOPLS","22","Feel that your situation is hopeless?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","GDSBETER","23","Most people are better off than you are?","NUMBER","1","0","0","1","","2013-09-14 07:59:42.0"
"GDSSHORT","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:42.0"
"GDSSHORT","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:42.0"
"GDSSHORT","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"GDSSHORT","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:42.0"
"GENCOUNS","","0","Genetic Counseling Form","","","","","","","2014-01-19 00:43:17.0"
"GENCOUNS","REC_ID","1","Record ID","NUMBER","12","0","","","","2014-01-19 00:43:17.0"
"GENCOUNS","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2014-01-19 00:43:17.0"
"GENCOUNS","CNO","3","Center Number","CHAR","4","","","","","2014-01-19 00:43:17.0"
"GENCOUNS","PATNO","4","Patient Number","CHAR","8","","","","","2014-01-19 00:43:17.0"
"GENCOUNS","EVENT_ID","5","Event Name","CHAR","8","","","","","2014-01-19 00:43:17.0"
"GENCOUNS","PAG_NAME","6","Page Name","CHAR","8","","","","","2014-01-19 00:43:17.0"
"GENCOUNS","INFODT","7","Event Date","DATE","","","","","","2014-01-19 00:43:17.0"
"GENCOUNS","GENCOUNS","8","Have genetic counseling","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"GENCOUNS","GENCNSPP","9","Genetic counseling prior or post","CHAR","1","","","","GENCNSPP","2014-01-19 00:43:17.0"
"GENCOUNS","GENCNSDT","10","Date of genetic counseling","DATE","","","","","","2014-01-19 00:43:17.0"
"GENCOUNS","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2014-01-19 00:43:17.0"
"GENCOUNS","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2014-01-19 00:43:17.0"
"GENCOUNS","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2014-01-19 00:43:17.0"
"GENCOUNS","SITE_APRV","104","Date site approved the data","DATE","","","","","","2014-01-19 00:43:17.0"
"GENPHYEX","","0","General Physical Exam","","","","","","","2013-09-14 07:59:42.0"
"GENPHYEX","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:42.0"
"GENPHYEX","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:42.0"
"GENPHYEX","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:42.0"
"GENPHYEX","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"GENPHYEX","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"GENPHYEX","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"GENPHYEX","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:42.0"
"GENPHYEX","PESEQ","8","Number","NUMBER","2","0","","","","2013-09-14 07:59:42.0"
"GENPHYEX","PECAT","9","Category","CHAR","50","","","","","2013-09-14 07:59:42.0"
"GENPHYEX","ABNORM","10","Response","CHAR","1","","","","ABNORM","2013-09-14 07:59:42.0"
"GENPHYEX","ABNORMCM","11","Comment","CHAR","240","","","","","2013-09-14 07:59:42.0"
"GENPHYEX","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:42.0"
"GENPHYEX","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:42.0"
"GENPHYEX","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"GENPHYEX","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:42.0"
"HVLT","","0","Hopkins Verbal Learning Test","","","","","","","2013-09-14 07:59:42.0"
"HVLT","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:42.0"
"HVLT","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:42.0"
"HVLT","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:42.0"
"HVLT","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"HVLT","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"HVLT","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"HVLT","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:42.0"
"HVLT","HVLTRT1","9","Immediate Recall Trial 1","NUMBER","2","0","0","12","","2013-09-14 07:59:42.0"
"HVLT","HVLTRT2","10","Immediate Recall Trial 2","NUMBER","2","0","0","12","","2013-09-14 07:59:42.0"
"HVLT","HVLTRT3","11","Immediate Recall Trial 3","NUMBER","2","0","0","12","","2013-09-14 07:59:42.0"
"HVLT","HVLTRDLY","12","Delayed Recall","NUMBER","2","0","0","12","","2013-09-14 07:59:42.0"
"HVLT","HVLTREC","13","Recognition","NUMBER","2","0","0","12","","2013-09-14 07:59:42.0"
"HVLT","HVLTFPRL","14","Recognition - false positives, related","NUMBER","1","0","","","","2013-09-14 07:59:42.0"
"HVLT","HVLTFPUN","15","Recognition - false positives, unrelated","NUMBER","1","0","","","","2013-09-14 07:59:42.0"
"HVLT","HVLTVRSN","16","HVLT-R Test Booklet Version used","CHAR","1","","","","HVLTVRSN","2013-09-14 07:59:42.0"
"HVLT","COMM","17","Comments","CHAR","240","","","","","2013-09-14 07:59:42.0"
"HVLT","AGE_ASSESS_HVLT","18","Age at Assessment - HVLT","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"HVLT","DVT_TOTAL_RECALL","19","Derived-Total Recall T-Score","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"HVLT","DVT_DELAYED_RECALL","20","Derived-Delayed Recall T-Score","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"HVLT","DVT_RETENTION","21","Derived-Retention T-Score","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"HVLT","DVT_RECOG_DISC_INDEX","22","Derived-Recog. Discrim. Index T-Score","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"HVLT","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:42.0"
"HVLT","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:42.0"
"HVLT","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"HVLT","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:42.0"
"INCIDENTS","CNO","2","Center Number","CHAR","8","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","PATNO","3","Patient Number","CHAR","8","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","CALLDT","4","Date CTCC Notified","DATE","","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","CALLERID","5","Caller Staff Code","CHAR","4","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","CTCCSTAFF","6","CTCC Staff Code","CHAR","4","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","SAE","7","Serious Adverse Event","CHAR","1","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","SAEDT","8","Serious Adverse Event Date","DATE","","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","TERM","9","Premature Withdrawal","CHAR","1","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","TERMDT","10","Date of withdrawal","DATE","","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","TERMVIS","11","Last Visit Prior to Withdrawal","CHAR","8","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","INITMD","12","Initiation of PD Medication","CHAR","1","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","INITMDDT","13","Date of PD Med Initiation","DATE","","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","INITMDVS","14","Visit prior to PD Med Initiation","CHAR","8","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","DXCHNG","15","Change of Diagnosis","CHAR","1","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","DXCHNGDT","16","Date of Change of Diagnosis","DATE","","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","INOSTD","17","Participation in another study","CHAR","1","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","INOSTDDT","18","Date of participation in another study","DATE","","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","PREG","19","Is Pregnancy being Reported?","CHAR","1","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","PREGDT","20","Date of Pregnancy","DATE","","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","DEATH","21","Death","CHAR","1","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","DEATHDT","22","Date of Death","DATE","","","","","","2013-09-14 07:59:42.0"
"INCIDENTS","COMMENTS","23","Caller Staff Code","CHAR","2000","","","","","2013-09-14 07:59:42.0"
"ind_av133_metadata","site_number","1","Site Number","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","scan_date","2","Scan Acquisition Date","DATE","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","imaging_center_name","3","Imaging Site Name","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","site_name","4","Clinical Site Name","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","scan_number","5","Visit Number","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","weight","6","Weight","REAL","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","weight_unit","7","Weight Unit","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","ligand","8","Radiopharmaceutical","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","batch_number","9","Batch Number","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","injection_site","10","Site of Injection","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","pass_qc","11","Passed QC","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","expiration_date","12","Expiration Date","DATE","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","expiration_time","13","Expiration Time","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","injection_volume","14","Volume of Injection","REAL","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","injection_volume_unit","15","Injection Volume Unit","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","initial_activity_converted","16","Initial Activity Converted to MBq","REAL","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","initial_activity_time_hh","17","Activity in Syringe Measured Time Hour","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","initial_activity_time_mm","18","Activity in Syringe Measured Time Minute","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","residual_activity_converted","19","Residual Activity Converted to MBq","REAL","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","residual_activity_time_hh","20","Residual Activity Measured Time Hour","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","residual_activity_time_mm","21","Residual Activity Measured Time Minute","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","injection_time_hh","22","Injection Time Hour","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","injection_time_mm","23","Injection Time Minute","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","total_dose_calc","24","Total Dose Calculation to MBq","REAL","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","camera","25","Camera","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","trans_one_file_name","26","50Min. Transmission File Name","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","trans_one_start_time_hh","27","50Min. Transmission Start Time Hour","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","trans_one_start_time_mm","28","50Min. Transmission Start Time Minute","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","emiss_one_file_name","29","50Min. Emission File Name","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","emiss_one_start_time_hh","30","50Min. Emission Start Time Hour","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","emiss_one_start_time_mm","31","50Min. Emission Start Time Minute","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","trans_two_file_name","32","80Min. Transmission File Name","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","trans_two_start_time_hh","33","80Min. Transmission Start Time Hour","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","trans_two_start_time_mm","34","80Min. Transmission Start Time Minute","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","emiss_two_file_name","35","80Min. Emission File Name","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","emiss_two_start_time_hh","36","80Min. Emission Start Time Hour","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","emiss_two_start_time_mm","37","80Min. Emission Start Time Minute","INT","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","scan_quality_rating_pet","38","PET Scan Quality Rating","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","pet_image_acceptable","39","Is PET Scan Acceptable for Submission to Image Database?","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","11_scan_acquisition_date_mr","40","scan acquisition date","DATE","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","11a_rs_mri","41","resting state mr","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","12_scan_quality_rating_mr","42","scan quality rating","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","13_dti_sequences","43","dti sequences","ST","","","","","","2013-04-03 16:05:23.0"
"ind_av133_metadata","comments","44","Technical comments","ST","","","","","","2013-04-03 16:05:23.0"
"INEX","","0","Inclusion Exclusion","","","","","","","2013-09-14 07:59:42.0"
"INEX","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:42.0"
"INEX","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:42.0"
"INEX","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:42.0"
"INEX","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"INEX","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"INEX","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:42.0"
"INEX","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:42.0"
"INEX","INEX1","8","Inclusion question 1","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX2","9","Inclusion question 2","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX3","10","Inclusion question 3","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX4","11","Inclusion question 4","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX5","12","Inclusion question 5","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX6","13","Inclusion question 6","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX7","14","Inclusion question 7","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX8","15","Inclusion question 8","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX9","16","Inclusion question 9","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX10","17","Inclusion question 10","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX11","18","Inclusion question 11","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX12","19","Inclusion question 12","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX13","20","Inclusion question 13","CHAR","1","","","","YN","2013-09-14 07:59:42.0"
"INEX","INEX14","21","Inclusion question 14","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX15","22","Inclusion question 15","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX16","23","Inclusion question 16","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX17","24","Inclusion question 17","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX21","25","Exclusion question 1","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX22","26","Exclusion question 2","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX23","27","Exclusion question 3","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX24","28","Exclusion question 4","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX25","29","Exclusion question 5","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX26","30","Exclusion question 6","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX27","31","Exclusion question 7","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX28","32","Exclusion question 8","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX29","33","Exclusion question 9","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX30","34","Exclusion question 10","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX31","35","Exclusion question 11","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX32","36","Exclusion question 12","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX33","37","Exclusion question 13","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX34","38","Exclusion question 14","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX35","39","Exclusion question 15","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX36","40","Exclusion question 16","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX37","41","Exclusion question 17","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX38","42","Exclusion question 18","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX39","43","Exclusion question 19","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","INEX40","44","Exclusion question 20","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","ELIGIBIL","46","Is the Subject eligible for enrollment","CHAR","1","","","","YN","2014-01-19 00:43:17.0"
"INEX","WAIVERCD","48","Protocol Deviation Code","CHAR","6","","","","","2014-01-19 00:43:17.0"
"INEX","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2013-09-14 07:59:42.0"
"INEX","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2013-09-14 07:59:42.0"
"INEX","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2013-09-14 07:59:42.0"
"INEX","SITE_APRV","104","Date site approved the data","DATE","","","","","","2013-09-14 07:59:42.0"
"INVSIG","","0","Investigator Signature","","","","","","","2014-01-19 00:43:17.0"
"INVSIG","REC_ID","1","Record ID","NUMBER","12","0","","","","2014-01-19 00:43:17.0"
"INVSIG","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2014-01-19 00:43:17.0"
"INVSIG","CNO","3","Center Number","CHAR","4","","","","","2014-01-19 00:43:17.0"
"INVSIG","PATNO","4","Patient Number","CHAR","8","","","","","2014-01-19 00:43:17.0"
"INVSIG","EVENT_ID","5","Event Name","CHAR","8","","","","","2014-01-19 00:43:17.0"
"INVSIG","PAG_NAME","6","Page Name","CHAR","8","","","","","2014-01-19 00:43:17.0"
"INVSIG","INFODT","7","Event Date","DATE","","","","","","2014-01-19 00:43:17.0"
"INVSIG","INVSTAFF","8","Investigator Staff Code","CHAR","4","","","","","2014-01-19 00:43:17.0"
"INVSIG","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2014-01-19 00:43:17.0"
"INVSIG","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2014-01-19 00:43:17.0"
"INVSIG","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2014-01-19 00:43:17.0"
"INVSIG","SITE_APRV","104","Date site approved the data","DATE","","","","","","2014-01-19 00:43:17.0"
"KINETICS","PATNO","1","Patient Number","CHAR","8","","","","","2013-09-14 07:59:42.0"
"KINETICS","TESTDATE","2","Test date and time","DATE","","","","","","2013-09-14 07:59:42.0"
"KINETICS","TAPDAY","3","Days since Baseline TAP assessment","NUMBER","4","0","","","","2013-09-14 07:59:42.0"
"KINETICS","REVISION","4","Test revision","CHAR","4","","","","","2013-09-14 07:59:42.0"
"KINETICS","DEVICESN","5","Device Serial Number","CHAR","12","","","","","2013-09-14 07:59:42.0"
"KINETICS","QMAT_OMS","6","QMAT OMS","NUMBER","8","3","","","","2013-09-14 07:59:42.0"
"KINETICS","QMAT_KEYDOWN","7","QMAT keyboard downstroke velocity, combo","NUMBER","8","3","","","","2013-09-14 07:59:42.0"
"KINETICS","QMAT_KEYDOWN_RIGHT","8","QMAT keyboard downstroke velocity, right","NUMBER","8","3","","","","2013-09-14 07:59:42.0"
"KINETICS","QMAT_KEYDOWN_LEFT","9","QMAT keyboard downstroke velocity, left","NUMBER","8","3","","","","2013-09-14 07:59:42.0"
"KINETICS","QMAT_PEGCYCLE","10","QMAT pegboard cycle duration, combo","NUMBER","8","3","","","","2013-09-14 07:59:42.0"
"KINETICS","QMAT_PEGCYCLE_RIGHT","11","QMAT pegboard cycle duration, right hand","NUMBER","8","3","","","","2013-09-14 07:59:42.0"
"KINETICS","QMAT_PEGCYCLE_LEFT","12","QMAT pegboard cycle duration, left hand","NUMBER","8","3","","","","2013-09-14 07:59:42.0"
"KINETICS","QMAT_KEYTRAN","13","QMAT keyboard transition velocity, combo","NUMBER","8","3","","","","2013-09-14 07:59:42.0"
"KINETICS","QMAT_KEYTRAN_RIGHT","14","QMAT keyboard transition velocity, right","NUMBER","8","3","","","","2013-09-14 07:59:42.0"
"KINETICS","QMAT_KEYTRAN_LEFT","15","QMAT keyboard transition velocity, left","NUMBER","8","3","","","","2013-09-14 07:59:42.0"
